id,name,path
"1334134_4770_9594489","Janome Sewing Machines","Arts Crafts & Sewing/Sewing Machines/Janome Sewing Machines"
"1334134_4770_5190147","Juki Sewing Machines","Arts Crafts & Sewing/Sewing Machines/Juki Sewing Machines"
"1334134_4770_5090801","Long Arm Quilting Machine","Arts Crafts & Sewing/Sewing Machines/Long Arm Quilting Machine"
"1334134_4770_5877805","Mechanical Sewing Machines","Arts Crafts & Sewing/Sewing Machines/Mechanical Sewing Machines"
"1334134_4770_2380337","Necchi Sewing Machine","Arts Crafts & Sewing/Sewing Machines/Necchi Sewing Machine"
"1334134_4770_4786646","Portable Sewing Machines","Arts Crafts & Sewing/Sewing Machines/Portable Sewing Machines"
"1334134_4770_8991465","Quilting Sewing Machine","Arts Crafts & Sewing/Sewing Machines/Quilting Sewing Machine"
"1334134_4770_6832992","Sergers","Arts Crafts & Sewing/Sewing Machines/Sergers"
"1334134_4770_5287445","Sewing Machines by Brand","Arts Crafts & Sewing/Sewing Machines/Sewing Machines by Brand"
"1334134_4770_4842101","Sewing Machines by Price","Arts Crafts & Sewing/Sewing Machines/Sewing Machines by Price"
"1334134_4770_4553195","Sewing Machines by Type","Arts Crafts & Sewing/Sewing Machines/Sewing Machines by Type"
"1334134_4770_2512284","Shop Sewing Machines","Arts Crafts & Sewing/Sewing Machines/Shop Sewing Machines"
"1334134_1094704_4482863","Dress Forms & Mannequins","Arts Crafts & Sewing/Sewing/Dress Forms & Mannequins"
"1334134_1094704_6363668","Fills, Foam and Pillow Forms","Arts Crafts & Sewing/Sewing/Fills, Foam and Pillow Forms"
"1334134_1094704_7741860","Needlepoint & Embroidery","Arts Crafts & Sewing/Sewing/Needlepoint & Embroidery"
"1334134_1094704_1882256","Notions & Sewing Accessories","Arts Crafts & Sewing/Sewing/Notions & Sewing Accessories"
"1334134_1094704_8516310","Quilting","Arts Crafts & Sewing/Sewing/Quilting"
"1334134_1094704_5620176","Ribbons, Trim & Embellishments","Arts Crafts & Sewing/Sewing/Ribbons, Trim & Embellishments"
"1334134_1094704_4161439","Sewing & Cutting Tools","Arts Crafts & Sewing/Sewing/Sewing & Cutting Tools"
"1334134_1094704_1285621","Sewing Kits","Arts Crafts & Sewing/Sewing/Sewing Kits"
"1334134_1094704_2312330","Sewing Machine Parts","Arts Crafts & Sewing/Sewing/Sewing Machine Parts"
"1334134_1094704_1095482","Sewing Patterns","Arts Crafts & Sewing/Sewing/Sewing Patterns"
"1334134_1094704_1030599","Sewing Tables","Arts Crafts & Sewing/Sewing/Sewing Tables"
"1334134_5186406","Silhouette","Arts Crafts & Sewing/Silhouette"
"1334134_5186406_9026434","Silhouette Die Cut Accessories","Arts Crafts & Sewing/Silhouette/Silhouette Die Cut Accessories"
"1334134_5186406_4522930","Silhouette Die Cut Machines","Arts Crafts & Sewing/Silhouette/Silhouette Die Cut Machines"
"1334134_6868418","Singer","Arts Crafts & Sewing/Singer"
"1334134_6868418_7150488","Shop Singer","Arts Crafts & Sewing/Singer/Shop Singer"
"1334134_6868418_5391354","Singer Accessories","Arts Crafts & Sewing/Singer/Singer Accessories"
